supplier_code,supplier_name,supplier_type_code,area_id,contact_name,contact_phone,contact_email,status_code
SUP0098,石家庄文旅投景区运营公司,scenic,38,顾行,13800100191,sup0098@example.com,active
SUP0099,秦皇岛旅游控股景区管理公司,scenic,76,姚岚,13800100192,sup0099@example.com,active
SUP0100,太原文旅集团景区管理公司,scenic,217,乔川,13800100196,sup0100@example.com,active
SUP0101,呼和浩特文旅投资集团景区公司,scenic,347,沈乔,13800100197,sup0101@example.com,active
SUP0102,沈阳盛京文旅发展集团,scenic,463,林越,13800100198,sup0102@example.com,active
SUP0103,大连老虎滩海洋公园运营公司,scenic,477,程舟,13800100199,sup0103@example.com,active
SUP0104,长春净月潭景区运营管理公司,scenic,578,唐冉,13800100200,sup0104@example.com,active
SUP0105,哈尔滨冰雪大世界股份有限公司,scenic,648,霍宁,13800100201,sup0105@example.com,active
SUP0106,上海东方明珠景区管理公司,scenic,786,孙媛,13800100111,sup0106@example.com,active
SUP0107,南京钟山风景区文旅运营公司,scenic,804,石昀,13800100193,sup0107@example.com,active
SUP0108,苏州园林旅游发展有限公司,scenic,842,叶笙,13800100202,sup0108@example.com,active
SUP0109,杭州西湖文旅集团,scenic,915,周雨,13800100112,sup0109@example.com,active
SUP0110,宁波文旅会展集团景区公司,scenic,929,顾川,13800100203,sup0110@example.com,active
SUP0111,合肥滨湖文旅集团景区运营公司,scenic,1019,夏朗,13800100204,sup0111@example.com,active
SUP0112,福州三坊七巷保护开发公司,scenic,1140,蒋朔,13800100205,sup0112@example.com,active
SUP0113,厦门鼓浪屿旅游投资集团,scenic,1154,白策,13800100206,sup0113@example.com,active
SUP0114,南昌滕王阁旅游区运营公司,scenic,1223,简航,13800100207,sup0114@example.com,active
SUP0115,济南天下第一泉景区运营公司,scenic,1335,孟卓,13800100208,sup0115@example.com,active
SUP0116,青岛海滨风景区管理公司,scenic,1348,黎晓,13800100209,sup0116@example.com,active
SUP0117,郑州黄河文化公园运营公司,scenic,1491,邵临,13800100210,sup0117@example.com,active
SUP0118,洛阳龙门石窟旅游集团,scenic,1514,岑岳,13800100211,sup0118@example.com,active
SUP0119,武汉黄鹤楼公园运营管理公司,scenic,1668,袁科,13800100212,sup0119@example.com,active
SUP0120,长沙岳麓山橘子洲旅游区管理公司,scenic,1785,贺言,13800100213,sup0120@example.com,active
SUP0121,广州岭南文旅投资集团,scenic,1922,吴安,13800100113,sup0121@example.com,active
SUP0122,深圳华侨城文旅科技集团,scenic,1945,郑洁,13800100114,sup0122@example.com,active
SUP0123,南宁青秀山风景区运营公司,scenic,2068,陆川,13800100214,sup0123@example.com,active
SUP0124,桂林旅游股份有限公司,scenic,2092,柳舟,13800100215,sup0124@example.com,active
SUP0125,海口火山口公园运营管理公司,scenic,2192,莫尧,13800100216,sup0125@example.com,active
SUP0126,三亚旅游文化投资集团,scenic,2197,纪湛,13800100217,sup0126@example.com,active
SUP0127,重庆武隆喀斯特旅游产业集团,scenic,2238,雷珂,13800100194,sup0127@example.com,active
SUP0128,成都文旅集团,scenic,2278,王宇,13800100115,sup0128@example.com,active
SUP0129,贵阳文旅投景区运营公司,scenic,2476,盛屿,13800100218,sup0129@example.com,active
SUP0130,昆明世博园景区运营公司,scenic,2574,宁恺,13800100219,sup0130@example.com,active
SUP0131,拉萨布达拉宫景区服务公司,scenic,2720,索朗,13800100220,sup0131@example.com,active
SUP0132,西安曲江文化旅游股份有限公司,scenic,2802,严畅,13800100195,sup0132@example.com,active
SUP0133,兰州黄河风情线旅游公司,scenic,2921,郝骁,13800100221,sup0133@example.com,active
SUP0134,西宁塔尔寺文旅服务公司,scenic,3025,扎西,13800100222,sup0134@example.com,active
SUP0135,银川沙湖旅游运营集团,scenic,3079,杜铮,13800100223,sup0135@example.com,active
SUP0136,乌鲁木齐天山大峡谷景区运营公司,scenic,3107,艾力,13800100224,sup0136@example.com,active
SUP0137,中国铁路北京局集团有限公司,train,2,孙伟,13800100138,sup0137@example.com,active
SUP0138,中国铁路沈阳局集团大连车务段,train,477,顾骁,13800100247,sup0138@example.com,active
SUP0139,中国铁路哈尔滨局集团牡丹江客运段,train,648,常宁,13800100246,sup0139@example.com,active
SUP0140,中国铁路上海局集团有限公司,train,786,周敏,13800100139,sup0140@example.com,active
SUP0141,中国铁路太原局集团有限公司,train,804,张艳,13800100145,sup0141@example.com,active
SUP0142,中国铁路武汉局集团有限公司,train,804,郑秀英,13800100152,sup0142@example.com,active
SUP0143,中国铁路上海局集团南京客运段,train,804,岳衡,13800100240,sup0143@example.com,active
SUP0144,中国铁路呼和浩特局集团有限公司,train,915,刘洋,13800100146,sup0144@example.com,active
SUP0145,中国铁路南宁局集团有限公司,train,915,王建华,13800100153,sup0145@example.com,active
SUP0146,中国铁路上海局集团杭州客运段,train,915,祁铭,13800100241,sup0146@example.com,active
SUP0147,中国铁路南昌局集团福州客运段,train,1140,程启,13800100238,sup0147@example.com,active
SUP0148,中国铁路南昌局集团厦门客运段,train,1154,齐远,13800100239,sup0148@example.com,active
SUP0149,中国铁路济南局集团青岛客运段,train,1348,霍川,13800100245,sup0149@example.com,active
SUP0150,中国铁路郑州局集团洛阳车务段,train,1514,池越,13800100244,sup0150@example.com,active
SUP0151,中国铁路武汉局集团襄阳客运段,train,1668,袁青,13800100243,sup0151@example.com,active
SUP0152,中国铁路广州局集团长沙客运段,train,1785,柯洋,13800100242,sup0152@example.com,active
SUP0153,中国铁路广州局集团有限公司,train,1922,吴昊,13800100140,sup0153@example.com,active
SUP0154,中国铁路乌鲁木齐局集团有限公司,train,1922,陈飞,13800100147,sup0154@example.com,active
SUP0155,中国铁路哈尔滨局集团有限公司,train,1922,刘晓峰,13800100154,sup0155@example.com,active
SUP0156,中国铁路沈阳局集团有限公司,train,1945,郑鑫,13800100141,sup0156@example.com,active
SUP0157,中国铁路济南局集团有限公司,train,1945,赵倩,13800100148,sup0157@example.com,active
SUP0158,中国铁路青藏集团有限公司,train,1945,张志国,13800100155,sup0158@example.com,active
SUP0159,中国铁路兰州局集团有限公司,train,2238,王鹏,13800100142,sup0159@example.com,active
SUP0160,中国铁路南昌局集团有限公司,train,2238,孙杰,13800100149,sup0160@example.com,active
SUP0161,中国铁路成都局集团有限公司,train,2278,冯雪,13800100143,sup0161@example.com,active
SUP0162,中国铁路昆明局集团有限公司,train,2278,周琳,13800100150,sup0162@example.com,active
SUP0163,中国铁路昆明局集团滇西铁路公司,train,2574,温林,13800100237,sup0163@example.com,active
SUP0164,中国铁路西安局集团有限公司,train,2802,李勇,13800100144,sup0164@example.com,active
SUP0165,中国铁路郑州局集团有限公司,train,2802,吴超,13800100151,sup0165@example.com,active
SUP0166,中国铁路乌鲁木齐局集团客运段,train,3107,阿迪力,13800100248,sup0166@example.com,active
SUP0167,曹操出行企业用车服务,transfer,2,顾辰,13800100267,sup0167@example.com,active
SUP0168,首汽约车企业出行服务,transfer,786,陈叙,13800100269,sup0168@example.com,active
SUP0169,享道出行企业专车服务,transfer,786,施扬,13800100275,sup0169@example.com,active
SUP0170,T3出行企业级接送服务,transfer,804,周砚,13800100268,sup0170@example.com,active
SUP0171,飞猪用车接送服务平台,transfer,915,韩序,13800100271,sup0171@example.com,active
SUP0172,携程机场接送服务平台,transfer,1922,林哲,13800100270,sup0172@example.com,active
SUP0173,如祺出行企业用车服务,transfer,1922,邹恺,13800100274,sup0173@example.com,active
SUP0174,广州白云机场空港快线服务公司,transfer,1922,欧宁,13800100276,sup0174@example.com,active
SUP0175,神州租车企业接送服务,transfer,1945,梁川,13800100272,sup0175@example.com,active
SUP0176,滴滴出行企业版用车服务,transfer,2238,杨萌,13800100119,sup0176@example.com,active
SUP0177,一嗨租车企业出行服务,transfer,2278,谢川,13800100273,sup0177@example.com,active
SUP0178,神州专车企业出行服务,transfer,2802,朱诺,13800100120,sup0178@example.com,active
