hub_code,hub_name,hub_type_code,city_area_id,address,latitude,longitude,status_code
HRB_BUS_01,哈尔滨公路客运总站,bus_station,648,哈尔滨市南岗区春申街26号,45.756800,126.638800,active
SHA_AIR_01,上海浦东国际机场,airport,786,上海市浦东新区迎宾大道6000号,31.144300,121.808300,active
SHA_AIR_02,上海虹桥国际机场,airport,786,上海市长宁区虹桥路2550号,31.197900,121.336300,active
SHA_RAIL_01,上海南站,railway_station,786,上海市徐汇区沪闵路9001号,31.155800,121.429400,active
SHA_RAIL_02,上海站,railway_station,786,上海市静安区秣陵路303号,31.249200,121.455700,active
SHA_RAIL_03,上海虹桥站,railway_station,786,上海市闵行区申虹路,31.196000,121.327500,active
SHA_BUS_01,上海白莲泾汽车站,bus_station,786,上海市浦东新区浦东南路3843号,31.206700,121.516400,active
SHA_BUS_02,上海长途客运总站,bus_station,786,上海市静安区中兴路1666号,31.256200,121.463800,active
SHA_BUS_03,上海长途客运虹桥站,bus_station,786,上海市闵行区申虹路298号,31.194900,121.321800,active
NKG_AIR_01,南京禄口国际机场,airport,804,南京市江宁区禄口街道机场路,31.742000,118.862000,active
NKG_RAIL_01,南京南站,railway_station,804,南京市雨花台区玉兰路98号,31.980300,118.792500,active
NKG_RAIL_02,南京站,railway_station,804,南京市玄武区龙蟠路111号,32.088600,118.802900,active
NKG_BUS_01,南京中央门长途汽车站,bus_station,804,南京市鼓楼区建宁路1号,32.104400,118.789300,active
NKG_BUS_02,南京汽车客运南站,bus_station,804,南京市雨花台区玉兰路98号,31.980200,118.792000,active
HGH_AIR_01,杭州萧山国际机场,airport,915,杭州市萧山区空港大道,30.236100,120.434600,active
HGH_RAIL_01,杭州东站,railway_station,915,杭州市上城区天城路1号,30.293000,120.212900,active
HGH_RAIL_02,杭州西站,railway_station,915,杭州市余杭区仓前街道站东街,30.297500,119.989600,active
HGH_BUS_01,杭州汽车南站,bus_station,915,杭州市上城区秋涛路407号,30.226100,120.184400,active
HGH_BUS_02,杭州汽车客运中心站,bus_station,915,杭州市上城区德胜东路3339号,30.295200,120.272500,active
NGB_AIR_01,宁波栎社国际机场,airport,929,宁波市海曙区栎社村机场路,29.826700,121.461900,active
NGB_RAIL_01,宁波站,railway_station,929,宁波市海曙区南站东路19号,29.862700,121.537700,active
NGB_BUS_01,宁波客运中心站,bus_station,929,宁波市海曙区通达路181号,29.846000,121.500500,active
HFE_AIR_01,合肥新桥国际机场,airport,1019,合肥市肥西县高刘街道机场路,31.780000,116.972000,active
HFE_RAIL_01,合肥南站,railway_station,1019,合肥市包河区龙川路,31.799200,117.309200,active
HFE_BUS_01,合肥汽车客运总站,bus_station,1019,合肥市瑶海区站前路火车站斜对面,31.873000,117.311500,active
FOC_AIR_01,福州长乐国际机场,airport,1140,福州市长乐区漳港街道机场路,25.935000,119.663100,active
FOC_RAIL_01,福州站,railway_station,1140,福州市晋安区华林路502号,26.097800,119.317600,active
FOC_BUS_01,福州汽车北站,bus_station,1140,福州市晋安区华林路371号,26.087300,119.311900,active
XMN_AIR_01,厦门高崎国际机场,airport,1154,厦门市湖里区翔云一路121号,24.544000,118.127700,active
XMN_RAIL_01,厦门北站,railway_station,1154,厦门市集美区后溪镇岩通路,24.635200,118.068900,active
XMN_BUS_01,厦门枋湖客运中心,bus_station,1154,厦门市湖里区枋湖北二路,24.510500,118.153600,active
KHN_AIR_01,南昌昌北国际机场,airport,1223,南昌市新建区乐化镇机场路,28.865000,115.900000,active
KHN_RAIL_01,南昌西站,railway_station,1223,南昌市红谷滩区西站大街,28.627400,115.848300,active
KHN_BUS_01,南昌长途汽车站,bus_station,1223,南昌市西湖区站前西路161号,28.669300,115.899400,active
TNA_AIR_01,济南遥墙国际机场,airport,1335,济南市历城区机场路1号,36.857200,117.216100,active
TNA_RAIL_01,济南西站,railway_station,1335,济南市槐荫区齐鲁大道6号,36.800700,116.891400,active
TNA_BUS_01,济南长途汽车总站,bus_station,1335,济南市天桥区济泺路131号,36.689300,116.995900,active
TAO_AIR_01,青岛胶东国际机场,airport,1348,青岛市胶州市胶东街道空港大道,36.266100,120.374800,active
TAO_RAIL_01,青岛北站,railway_station,1348,青岛市李沧区静乐路1号,36.165600,120.389300,active
TAO_BUS_01,青岛四方长途汽车站,bus_station,1348,青岛市市北区温州路2号,36.111200,120.363400,active
CGO_AIR_01,郑州新郑国际机场,airport,1491,郑州市新郑市迎宾大道1号,34.526500,113.849200,active
CGO_RAIL_01,郑州东站,railway_station,1491,郑州市金水区心怡路199号,34.756500,113.752600,active
CGO_BUS_01,郑州长途汽车中心站,bus_station,1491,郑州市二七区兴隆街14号,34.747300,113.649000,active
LYA_AIR_01,洛阳北郊机场,airport,1514,洛阳市老城区邙山镇机场路,34.741100,112.388400,active
LYA_RAIL_01,洛阳龙门站,railway_station,1514,洛阳市洛龙区通衢路,34.618600,112.454800,active
LYA_BUS_01,洛阳锦远汽车站,bus_station,1514,洛阳市西工区道南路71号,34.682500,112.446500,active
WUH_AIR_01,武汉天河国际机场,airport,1668,武汉市黄陂区天河机场路,30.783800,114.208100,active
WUH_RAIL_01,武汉站,railway_station,1668,武汉市洪山区杨春湖路1号,30.611500,114.420600,active
WUH_BUS_01,武汉傅家坡汽车客运站,bus_station,1668,武汉市武昌区武珞路358号,30.535000,114.329600,active
CSX_AIR_01,长沙黄花国际机场,airport,1785,长沙市长沙县机场大道,28.189200,113.219600,active
CSX_RAIL_01,长沙南站,railway_station,1785,长沙市雨花区花侯路,28.146800,113.080200,active
CSX_BUS_01,长沙汽车东站,bus_station,1785,长沙市芙蓉区远大一路1229号,28.196300,113.083700,active
CAN_AIR_01,广州白云国际机场,airport,1922,广州市白云区人和镇机场大道,23.392400,113.298800,active
CAN_RAIL_01,广州东站,railway_station,1922,广州市天河区林和西路,23.155100,113.324900,active
CAN_RAIL_02,广州南站,railway_station,1922,广州市番禺区石壁街道,22.988600,113.269200,active
CAN_BUS_01,广州天河客运站,bus_station,1922,广州市天河区燕岭路633号,23.145900,113.344000,active
CAN_BUS_02,广州省汽车客运站,bus_station,1922,广州市越秀区环市西路145号,23.151600,113.255500,active
SZX_AIR_01,深圳宝安国际机场,airport,1945,深圳市宝安区航站四路,22.639300,113.810700,active
SZX_RAIL_01,深圳北站,railway_station,1945,深圳市龙华区致远中路28号,22.609800,114.029100,active
SZX_RAIL_02,深圳站,railway_station,1945,深圳市罗湖区建设路1003号,22.531700,114.117100,active
SZX_BUS_01,深圳罗湖汽车站,bus_station,1945,深圳市罗湖区火车站东广场商业城1楼,22.531900,114.118100,active
SZX_BUS_02,深圳银湖汽车站,bus_station,1945,深圳市罗湖区北环大道1028号,22.579000,114.092900,active
NNG_AIR_01,南宁吴圩国际机场,airport,2068,南宁市江南区吴圩镇机场大道,22.608300,108.171100,active
NNG_RAIL_01,南宁东站,railway_station,2068,南宁市青秀区长虹路66号,22.844000,108.419500,active
NNG_BUS_01,南宁金桥客运站,bus_station,2068,南宁市兴宁区昆仑大道368号,22.873800,108.380700,active
KWL_AIR_01,桂林两江国际机场,airport,2092,桂林市临桂区两江镇机场路,25.218100,110.039500,active
KWL_RAIL_01,桂林北站,railway_station,2092,桂林市叠彩区站前路1号,25.309300,110.298400,active
KWL_BUS_01,桂林琴潭汽车客运站,bus_station,2092,桂林市秀峰区翠竹路27号,25.273900,110.271500,active
HAK_AIR_01,海口美兰国际机场,airport,2192,海口市美兰区灵山镇机场路,19.934900,110.458900,active
HAK_RAIL_01,海口东站,railway_station,2192,海口市龙华区迎宾大道,20.009200,110.343100,active
HAK_BUS_01,海口西站汽车客运站,bus_station,2192,海口市秀英区滨海大道159号,20.045000,110.261700,active
SYX_AIR_01,三亚凤凰国际机场,airport,2197,三亚市天涯区凤凰路,18.302900,109.412300,active
SYX_RAIL_01,三亚站,railway_station,2197,三亚市吉阳区育秀路10号,18.291300,109.500300,active
SYX_BUS_01,三亚汽车总站,bus_station,2197,三亚市天涯区解放路888号,18.255700,109.503900,active
CKG_AIR_01,重庆江北国际机场,airport,2238,重庆市渝北区机场路,29.719200,106.641600,active
CKG_RAIL_01,重庆北站,railway_station,2238,重庆市渝北区昆仑大道51号,29.618100,106.551500,active
CKG_RAIL_02,重庆西站,railway_station,2238,重庆市沙坪坝区凤中路168号,29.505300,106.430400,active
CKG_BUS_01,重庆汽车北站,bus_station,2238,重庆市渝北区红锦大道,29.613600,106.533400,active
CKG_BUS_02,重庆陈家坪汽车站,bus_station,2238,重庆市九龙坡区石杨路39号,29.525800,106.510700,active
CTU_AIR_01,成都双流国际机场,airport,2278,成都市双流区机场路,30.578500,103.947100,active
CTU_AIR_02,成都天府国际机场,airport,2278,成都市简阳市芦葭镇天府机场大道,30.319000,104.445700,active
CTU_RAIL_01,成都东站,railway_station,2278,成都市成华区邛崃山路333号,30.629300,104.141300,active
CTU_RAIL_02,成都南站,railway_station,2278,成都市武侯区天府大道北段,30.605800,104.074900,active
CTU_BUS_01,成都东站汽车客运站,bus_station,2278,成都市成华区邛崃山路333号,30.628900,104.141500,active
CTU_BUS_02,成都石羊客运站,bus_station,2278,成都市武侯区益新大道北段5号,30.579500,104.063000,active
KWE_AIR_01,贵阳龙洞堡国际机场,airport,2476,贵阳市南明区机场路,26.540600,106.801000,active
KWE_RAIL_01,贵阳北站,railway_station,2476,贵阳市观山湖区西二环北段,26.618300,106.648300,active
KWE_BUS_01,贵阳金阳客车站,bus_station,2476,贵阳市观山湖区金阳南路331号,26.575100,106.626900,active
KMG_AIR_01,昆明长水国际机场,airport,2574,昆明市官渡区长水村机场东路,25.101900,102.929200,active
KMG_RAIL_01,昆明南站,railway_station,2574,昆明市呈贡区祥园街,24.883200,102.852300,active
KMG_BUS_01,昆明西部汽车客运站,bus_station,2574,昆明市西山区马街春雨路,25.040200,102.652100,active
LXA_AIR_01,拉萨贡嘎国际机场,airport,2720,拉萨市贡嘎县甲竹林镇机场路,29.297700,90.911900,active
LXA_RAIL_01,拉萨站,railway_station,2720,拉萨市堆龙德庆区柳梧新区通站路,29.626300,91.038300,active
LXA_BUS_01,拉萨汽车站,bus_station,2720,拉萨市城关区民族中路1号,29.648700,91.116900,active
XIY_AIR_01,西安咸阳国际机场,airport,2802,西安市西咸新区空港新城空港大道,34.447100,108.751600,active
XIY_RAIL_01,西安北站,railway_station,2802,西安市未央区元朔路,34.382100,108.948900,active
XIY_RAIL_02,西安站,railway_station,2802,西安市新城区环城北路44号,34.272600,108.960800,active
XIY_BUS_01,西安城北客运站,bus_station,2802,西安市未央区文景路与元朔路交汇处,34.357500,108.947600,active
XIY_BUS_02,西安城南客运站,bus_station,2802,西安市雁塔区朱雀大街南段,34.174900,108.947500,active
LHW_AIR_01,兰州中川国际机场,airport,2921,兰州市永登县中川镇机场路,36.515200,103.620100,active
LHW_RAIL_01,兰州西站,railway_station,2921,兰州市七里河区西津西路197号,36.061000,103.732500,active
LHW_BUS_01,兰州汽车东站,bus_station,2921,兰州市城关区平凉路276号,36.046400,103.834500,active
XNN_AIR_01,西宁曹家堡国际机场,airport,3025,西宁市互助土族自治县高寨街道机场路,36.527500,102.042000,active
XNN_RAIL_01,西宁站,railway_station,3025,西宁市城东区互助中路128号,36.623700,101.831300,active
XNN_BUS_01,西宁汽车客运中心,bus_station,3025,西宁市城东区建国大街1号,36.616900,101.800100,active
INC_AIR_01,银川河东国际机场,airport,3079,银川市灵武市临河镇机场路,38.322800,106.393200,active
INC_RAIL_01,银川站,railway_station,3079,银川市金凤区上海西路710号,38.487800,106.180500,active
INC_BUS_01,银川汽车站,bus_station,3079,银川市兴庆区清和北街1019号,38.495100,106.282100,active
URC_AIR_01,乌鲁木齐地窝堡国际机场,airport,3107,乌鲁木齐市新市区迎宾路1341号,43.907100,87.474200,active
URC_RAIL_01,乌鲁木齐站,railway_station,3107,乌鲁木齐市沙依巴克区高铁北六路1号,43.838700,87.564500,active
URC_BUS_01,乌鲁木齐碾子沟客运站,bus_station,3107,乌鲁木齐市沙依巴克区黑龙江路581号,43.789600,87.589600,active
