hotel_id,room_type_code,room_type_name,room_type_category_code,area_size,max_guests,amenity_payload,status_code,created_at,updated_at
29,HOTELREAL0029_TWN_02,双床房,twin,36,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-07 11:10:00,2025-03-10 22:30:00
30,HOTELREAL0030_DBL_01,大床房,double,42,2,"[""window"", ""desk"", ""bathroom"", ""tv"", ""sea_view""]",active,2024-02-08 11:00:00,2025-03-10 22:40:00
30,HOTELREAL0030_FAM_02,家庭房,family,58,4,"[""window"", ""desk"", ""bathroom"", ""tv"", ""extra_bed""]",active,2024-02-08 11:10:00,2025-03-10 22:50:00
31,HOTELREAL0031_DBL_01,大床房,double,38,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-09 11:00:00,2025-03-10 23:00:00
31,HOTELREAL0031_STE_02,套房,suite,72,3,"[""window"", ""desk"", ""bathroom"", ""tv"", ""living_room""]",active,2024-02-09 11:10:00,2025-03-10 23:10:00
32,HOTELREAL0032_DBL_01,大床房,double,46,2,"[""window"", ""desk"", ""bathroom"", ""tv"", ""lake_view""]",active,2024-02-10 11:00:00,2025-03-10 23:20:00
32,HOTELREAL0032_STE_02,套房,suite,78,3,"[""window"", ""desk"", ""bathroom"", ""tv"", ""living_room""]",active,2024-02-10 11:10:00,2025-03-10 23:30:00
33,HOTELREAL0033_DBL_01,大床房,double,40,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-11 11:00:00,2025-03-10 23:40:00
33,HOTELREAL0033_TWN_02,双床房,twin,44,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-11 11:10:00,2025-03-10 23:50:00
34,HOTELREAL0034_DBL_01,大床房,double,36,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-12 11:00:00,2025-03-11 00:00:00
34,HOTELREAL0034_TWN_02,双床房,twin,40,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-12 11:10:00,2025-03-11 00:10:00
35,HOTELREAL0035_DBL_01,大床房,double,48,2,"[""window"", ""desk"", ""bathroom"", ""tv"", ""river_view""]",active,2024-02-13 11:00:00,2025-03-11 00:20:00
35,HOTELREAL0035_FAM_02,家庭房,family,60,4,"[""window"", ""desk"", ""bathroom"", ""tv"", ""extra_bed""]",active,2024-02-13 11:10:00,2025-03-11 00:30:00
36,HOTELREAL0036_DBL_01,大床房,double,45,2,"[""window"", ""desk"", ""bathroom"", ""tv"", ""balcony""]",active,2024-02-14 11:00:00,2025-03-11 00:40:00
36,HOTELREAL0036_FAM_02,家庭房,family,62,4,"[""window"", ""desk"", ""bathroom"", ""tv"", ""extra_bed""]",active,2024-02-14 11:10:00,2025-03-11 00:50:00
37,HOTELREAL0037_DBL_01,大床房,double,42,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-15 11:00:00,2025-03-11 01:00:00
37,HOTELREAL0037_STE_02,套房,suite,75,3,"[""window"", ""desk"", ""bathroom"", ""tv"", ""living_room""]",active,2024-02-15 11:10:00,2025-03-11 01:10:00
38,HOTELREAL0038_DBL_01,大床房,double,38,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-16 11:00:00,2025-03-11 01:20:00
38,HOTELREAL0038_TWN_02,双床房,twin,42,2,"[""window"", ""desk"", ""bathroom"", ""tv""]",active,2024-02-16 11:10:00,2025-03-11 01:30:00
