scenic_code,scenic_name,scenic_type_code,rating_code,area_id,address,latitude,longitude,summary,tag_payload,open_time,close_time,supplier_id,status_code,created_at,updated_at
SCENICREAL0011,西湖风景名胜区,wetland,5A,915,浙江省杭州市西湖区龙井路1号,30.243100,120.150900,杭州最具代表性的山水城市景观景区。,"[""sightseeing"", ""family"", ""ecological""]",06:00:00,22:00:00,109,active,2024-01-20 09:00:00,2025-03-11 11:40:00
SCENICREAL0012,鼓浪屿风景名胜区,heritage,5A,1154,福建省厦门市思明区鼓浪屿,24.448700,118.067100,厦门最具知名度的人文与海岛景区。,"[""culture"", ""beach"", ""sightseeing""]",08:00:00,21:00:00,113,active,2024-01-21 09:00:00,2025-03-11 11:50:00
SCENICREAL0013,滕王阁旅游区,heritage,5A,1223,江西省南昌市东湖区仿古街58号,28.684600,115.887600,赣江畔代表性历史文化景区。,"[""history"", ""culture"", ""sightseeing""]",08:00:00,18:00:00,114,active,2024-01-22 09:00:00,2025-03-11 12:00:00
SCENICREAL0014,天下第一泉风景区,wetland,5A,1335,山东省济南市历下区趵突泉南路1号,36.661900,117.022500,济南泉水文化核心游览区。,"[""culture"", ""family"", ""sightseeing""]",07:00:00,19:00:00,115,active,2024-01-23 09:00:00,2025-03-11 12:10:00
SCENICREAL0015,龙门石窟,heritage,5A,1514,河南省洛阳市洛龙区龙门中街13号,34.559600,112.477700,中国石刻艺术和佛教文化代表景区。,"[""history"", ""culture"", ""sightseeing""]",08:00:00,18:00:00,118,active,2024-01-24 09:00:00,2025-03-11 12:20:00
SCENICREAL0016,黄鹤楼公园,cultural_square,5A,1668,湖北省武汉市武昌区蛇山西山坡特1号,30.544900,114.302100,武汉最具代表性的城市历史地标景区。,"[""history"", ""culture"", ""city_view""]",08:30:00,18:00:00,119,active,2024-01-25 09:00:00,2025-03-11 12:30:00
SCENICREAL0017,岳麓山风景名胜区,mountain,5A,1785,湖南省长沙市岳麓区登高路58号,28.180900,112.938800,长沙城市山岳型代表景区。,"[""mountain"", ""culture"", ""sightseeing""]",08:00:00,18:00:00,120,active,2024-01-26 09:00:00,2025-03-11 12:40:00
SCENICREAL0018,广州塔景区,cultural_square,4A,1922,广东省广州市海珠区阅江西路222号,23.108500,113.324700,广州城市观光地标景区。,"[""city_view"", ""family"", ""night_view""]",09:00:00,22:00:00,121,active,2024-01-27 09:00:00,2025-03-11 12:50:00
SCENICREAL0019,世界之窗,theme_park,5A,1945,广东省深圳市南山区深南大道9037号,22.535000,113.973300,深圳代表性主题公园景区。,"[""family"", ""theme_park"", ""sightseeing""]",09:00:00,22:00:00,122,active,2024-01-28 09:00:00,2025-03-11 13:00:00
SCENICREAL0020,青秀山风景旅游区,forest,5A,2068,广西壮族自治区南宁市青秀区凤岭南路6号,22.807200,108.401200,南宁城市生态和休闲代表景区。,"[""forest"", ""family"", ""ecological""]",08:00:00,18:00:00,123,active,2024-01-29 09:00:00,2025-03-11 13:10:00
SCENICREAL0021,象鼻山景区,mountain,5A,2092,广西壮族自治区桂林市象山区滨江路1号,25.272800,110.296400,桂林山水城市名片型景区。,"[""mountain"", ""sightseeing"", ""family""]",08:00:00,18:00:00,124,active,2024-01-30 09:00:00,2025-03-11 13:20:00
SCENICREAL0022,海口火山口公园,ecological,4A,2192,海南省海口市秀英区石山镇风景路89号,19.947200,110.168700,以火山地质遗迹与热带生态为特色的城市近郊景区。,"[""ecological"", ""family"", ""sightseeing""]",08:30:00,17:30:00,125,active,2024-01-31 09:00:00,2025-03-11 13:30:00
SCENICREAL0023,天涯海角游览区,beach,5A,2197,海南省三亚市天涯区天涯海角景区,18.299100,109.339800,三亚滨海代表性旅游景区。,"[""beach"", ""sightseeing"", ""family""]",08:00:00,18:30:00,126,active,2024-02-01 09:00:00,2025-03-11 13:40:00
SCENICREAL0024,武隆天生三桥景区,mountain,5A,2238,重庆市武隆区仙女山镇游客接待中心,29.434300,107.760000,重庆山地喀斯特地貌代表景区。,"[""mountain"", ""heritage"", ""sightseeing""]",08:00:00,17:30:00,127,active,2024-02-02 09:00:00,2025-03-11 13:50:00
SCENICREAL0025,都江堰景区,heritage,5A,2278,四川省成都市都江堰市公园路,31.004400,103.617100,成都周边最具代表性的世界遗产景区之一。,"[""history"", ""culture"", ""sightseeing""]",08:00:00,18:00:00,128,active,2024-02-03 09:00:00,2025-03-11 14:00:00
SCENICREAL0026,黔灵山公园,forest,4A,2476,贵州省贵阳市云岩区枣山路187号,26.598700,106.696300,贵阳市区融合生态与人文的山地公园景区。,"[""forest"", ""family"", ""ecological""]",07:00:00,18:00:00,129,active,2024-02-04 09:00:00,2025-03-11 14:10:00
SCENICREAL0027,昆明世博园,botanical_garden,5A,2574,云南省昆明市盘龙区世博路10号,25.083000,102.742500,昆明代表性的园艺与生态观光景区。,"[""botanical_garden"", ""family"", ""sightseeing""]",08:30:00,18:00:00,130,active,2024-02-05 09:00:00,2025-03-11 14:20:00
SCENICREAL0028,布达拉宫景区,heritage,5A,2720,西藏自治区拉萨市城关区北京中路35号,29.657800,91.117500,拉萨最具代表性的世界文化遗产景区。,"[""history"", ""culture"", ""religion""]",09:00:00,16:00:00,131,active,2024-02-06 09:00:00,2025-03-11 14:30:00
SCENICREAL0029,大唐不夜城景区,cultural_square,4A,2802,陕西省西安市雁塔区慈恩路46号,34.218600,108.968300,西安夜游和盛唐文化体验代表景区。,"[""culture"", ""night_view"", ""family""]",09:00:00,22:30:00,132,active,2024-02-07 09:00:00,2025-03-11 14:40:00
SCENICREAL0030,黄河风情线景区,cultural_square,4A,2921,甘肃省兰州市城关区滨河东路,36.061800,103.834200,兰州最具代表性的城市滨河景观带。,"[""city_view"", ""family"", ""sightseeing""]",08:00:00,22:00:00,133,active,2024-02-08 09:00:00,2025-03-11 14:50:00
SCENICREAL0031,沈阳故宫,museum,4A,463,辽宁省沈阳市沈河区沈阳路171号,41.801900,123.458600,东北地区代表性的清代宫殿建筑群景区。,"[""history"", ""culture"", ""sightseeing""]",08:30:00,17:00:00,102,active,2024-02-09 09:00:00,2025-03-11 15:00:00
SCENICREAL0032,拙政园,heritage,5A,842,江苏省苏州市姑苏区东北街178号,31.326500,120.632700,苏州园林文化最具代表性的世界遗产景区。,"[""culture"", ""garden"", ""sightseeing""]",07:30:00,17:30:00,108,active,2024-02-10 09:00:00,2025-03-11 15:10:00
SCENICREAL0033,天一阁博物院,museum,5A,929,浙江省宁波市海曙区天一街10号,29.871200,121.547800,江南典型藏书楼与人文历史景区。,"[""culture"", ""history"", ""family""]",08:30:00,17:30:00,110,active,2024-02-11 09:00:00,2025-03-11 15:20:00
SCENICREAL0034,三河古镇,ancient_town,5A,1019,安徽省合肥市肥西县三河镇三杭路,31.502900,117.241000,合肥周边最具代表性的古镇型旅游景区。,"[""ancient_town"", ""culture"", ""sightseeing""]",08:00:00,18:00:00,111,active,2024-02-12 09:00:00,2025-03-11 15:30:00
SCENICREAL0035,三坊七巷,ancient_town,5A,1140,福建省福州市鼓楼区南后街,26.083700,119.296200,福州传统坊巷格局与历史文化代表景区。,"[""ancient_town"", ""culture"", ""sightseeing""]",08:30:00,21:00:00,112,active,2024-02-13 09:00:00,2025-03-11 15:40:00
SCENICREAL0036,崂山风景区,mountain,5A,1348,山东省青岛市崂山区梅岭路29号,36.170600,120.631000,青岛山海景观结合最典型的自然景区。,"[""mountain"", ""beach"", ""sightseeing""]",07:30:00,18:00:00,116,active,2024-02-14 09:00:00,2025-03-11 15:50:00
SCENICREAL0037,橘子洲景区,cultural_square,5A,1785,湖南省长沙市岳麓区橘子洲头2号,28.191300,112.968500,长沙湘江沿岸地标式城市休闲景区。,"[""city_view"", ""family"", ""sightseeing""]",07:00:00,22:00:00,120,active,2024-02-15 09:00:00,2025-03-11 16:00:00
SCENICREAL0038,塔尔寺景区,religious,5A,3025,青海省西宁市湟中区金塔路56号,36.486000,101.568500,青海最具代表性的藏传佛教文化景区。,"[""religion"", ""culture"", ""history""]",08:00:00,17:00:00,134,active,2024-02-16 09:00:00,2025-03-11 16:10:00
SCENICREAL0039,沙湖景区,wetland,5A,3079,宁夏回族自治区石嘴山市平罗县沙湖旅游区,38.857400,106.353600,集湖泊、湿地与沙漠风貌于一体的复合型景区。,"[""wetland"", ""ecological"", ""family""]",08:00:00,18:00:00,135,active,2024-02-17 09:00:00,2025-03-11 16:20:00
SCENICREAL0040,天山大峡谷景区,mountain,5A,3107,新疆维吾尔自治区乌鲁木齐县板房沟乡灯草沟村,43.599000,87.173400,乌鲁木齐近郊最具代表性的峡谷山地景区。,"[""mountain"", ""ecological"", ""sightseeing""]",08:00:00,18:00:00,136,active,2024-02-18 09:00:00,2025-03-11 16:30:00
