hotel_code,hotel_name,hotel_type_code,star_rating_code,area_id,address,latitude,longitude,summary,facility_payload,check_in_time,check_out_time,contact_phone,supplier_id,status_code,created_at,updated_at
HOTELREAL0014,长沙华天大酒店,business,5,1785,长沙市芙蓉区解放东路300号,28.192500,113.007700,长沙市中心成熟商务接待型酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym""]",14:00:00,12:00:00,0731-84442888,79,active,2024-01-23 10:00:00,2025-03-10 12:10:00
HOTELREAL0015,南宁沃顿国际大酒店,business,5,2068,南宁市青秀区民族大道88号,22.817800,108.365400,南宁核心商务区高端酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0771-2111888,84,active,2024-01-24 10:00:00,2025-03-10 12:20:00
HOTELREAL0016,海口康年皇冠花园酒店,resort,5,2192,海口市龙华区金垦路6号,20.018200,110.329100,适合家庭与度假出行的海口城市度假酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0898-66818888,85,active,2024-01-25 10:00:00,2025-03-10 12:30:00
HOTELREAL0017,贵州饭店,luxury,5,2476,贵阳市云岩区北京路66号,26.592000,106.710400,贵阳核心城区老牌高端接待酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym""]",14:00:00,12:00:00,0851-86888888,90,active,2024-01-26 10:00:00,2025-03-10 12:40:00
HOTELREAL0018,昆明海埂酒店,resort,5,2574,昆明市西山区红塔西路10号,24.952100,102.664800,滇池沿线的度假型城市酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0871-64318888,91,active,2024-01-27 10:00:00,2025-03-10 12:50:00
HOTELREAL0019,石家庄云瑧金陵世贸广场酒店,business,5,38,石家庄市桥西区中山东路303号,38.041900,114.514000,石家庄核心商圈内的成熟商务酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym""]",14:00:00,12:00:00,0311-69088888,69,active,2024-01-28 10:00:00,2025-03-10 13:00:00
HOTELREAL0020,福州悦华酒店,business,5,1140,福州市鼓楼区华林路11号,26.087600,119.305900,福州老牌高端城市酒店，适合商务与政务接待。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0591-87688888,73,active,2024-01-29 10:00:00,2025-03-10 13:10:00
HOTELREAL0021,厦门海悦山庄酒店,resort,5,1154,厦门市思明区环岛南路3999号,24.430900,118.142800,拥有山海景观的厦门度假型高端酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0592-5023333,74,active,2024-01-30 10:00:00,2025-03-10 13:20:00
HOTELREAL0022,南昌香格里拉大酒店,luxury,5,1223,南昌市红谷滩区翠林路669号,28.689400,115.842200,南昌红谷滩核心片区高端商务酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0791-82222888,77,active,2024-01-31 10:00:00,2025-03-10 13:30:00
HOTELREAL0023,深圳福田香格里拉大酒店,luxury,5,1945,深圳市福田区益田路4088号,22.538300,114.066700,毗邻福田高铁站和会展片区的高端酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0755-88284088,83,active,2024-02-01 10:00:00,2025-03-10 13:40:00
HOTELREAL0024,重庆两江假日酒店,business,5,2238,重庆市江北区建新东路96号,29.587300,106.549600,面向城市商旅和家庭出行的江北商务酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym""]",14:00:00,12:00:00,023-67999999,87,active,2024-02-02 10:00:00,2025-03-10 13:50:00
HOTELREAL0025,成都宽窄巷子美居酒店,boutique,4,2278,成都市青羊区同仁路宽窄巷子片区,30.667800,104.056700,靠近宽窄巷子的城市精品酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym""]",14:00:00,12:00:00,028-86277777,89,active,2024-02-03 10:00:00,2025-03-10 14:00:00
HOTELREAL0026,西安万澳庭院酒店,boutique,4,2802,西安市碑林区南大街粉巷18号,34.258900,108.947500,古城墙与钟楼商圈附近的庭院风格酒店。,"[""wifi"", ""breakfast"", ""courtyard"", ""tea_room""]",14:00:00,12:00:00,029-87376666,93,active,2024-02-04 10:00:00,2025-03-10 14:10:00
HOTELREAL0027,兰州阳光大酒店,business,5,2921,兰州市城关区庆阳路428号,36.058800,103.826000,兰州老城区核心地段的商务型酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym""]",14:00:00,12:00:00,0931-8888866,94,active,2024-02-05 10:00:00,2025-03-10 14:20:00
HOTELREAL0028,银川凯宾斯基饭店,luxury,5,3079,银川市金凤区北京中路160号,38.487400,106.232100,银川新区代表性高端商务酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0951-5161888,95,active,2024-02-06 10:00:00,2025-03-10 14:30:00
HOTELREAL0029,乌鲁木齐银星大酒店,business,5,3107,乌鲁木齐市沙依巴克区奇台路639号,43.789200,87.582400,乌鲁木齐传统商旅接待型酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym""]",14:00:00,12:00:00,0991-5818888,96,active,2024-02-07 10:00:00,2025-03-10 14:40:00
HOTELREAL0030,秦皇岛香格里拉大酒店,resort,5,76,秦皇岛市海港区河滨路123号,39.937800,119.590400,靠近海滨的秦皇岛度假商务兼顾型酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0335-5808888,68,active,2024-02-08 10:00:00,2025-03-10 14:50:00
HOTELREAL0031,太原洲际酒店,business,5,217,太原市小店区长风街115号,37.811800,112.563500,太原商务会展片区高端酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0351-7658888,69,active,2024-02-09 10:00:00,2025-03-10 15:00:00
HOTELREAL0032,苏州金鸡湖凯宾斯基大酒店,resort,5,842,苏州市工业园区国宾路1号,31.286100,120.725600,金鸡湖畔代表性高端度假商务酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0512-62897888,71,active,2024-02-10 10:00:00,2025-03-10 15:10:00
HOTELREAL0033,宁波泛太平洋大酒店,business,5,929,宁波市鄞州区民安东路99号,29.879500,121.611400,东部新城商务型高端酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0574-89118888,74,active,2024-02-11 10:00:00,2025-03-10 15:20:00
HOTELREAL0034,合肥元一希尔顿酒店,business,5,1019,合肥市瑶海区胜利路198号,31.878500,117.314600,合肥站商圈成熟高端商务酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0551-65299999,71,active,2024-02-12 10:00:00,2025-03-10 15:30:00
HOTELREAL0035,桂林香格里拉大酒店,resort,5,2092,桂林市七星区环城北二路111号,25.298800,110.318100,桂林漓江沿岸代表性高端度假酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0773-2698888,84,active,2024-02-13 10:00:00,2025-03-10 15:40:00
HOTELREAL0036,三亚亚龙湾迎宾馆,resort,5,2197,三亚市吉阳区亚龙湾国家旅游度假区内,18.237900,109.628800,面向休闲度假的三亚海滨型酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0898-88559999,85,active,2024-02-14 10:00:00,2025-03-10 15:50:00
HOTELREAL0037,沈阳香格里拉大酒店,luxury,5,463,沈阳市沈河区青年大街115号,41.792700,123.432500,沈阳青年大街商务区高端酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,024-24366666,68,active,2024-02-15 10:00:00,2025-03-10 16:00:00
HOTELREAL0038,西宁新华联索菲特大酒店,business,5,3025,西宁市城西区五四西路63号,36.623000,101.742000,西宁新区商务与会务型高端酒店。,"[""wifi"", ""parking"", ""breakfast"", ""gym"", ""pool""]",14:00:00,12:00:00,0971-7669999,94,active,2024-02-16 10:00:00,2025-03-10 16:10:00
